index;label;degree_in;degree_out;degree_total;weight;compound_type;domain
2371;nac;3;1;4;123.0320284;metabolite;all
3347;nac[e];0;1;1;123.0320284;metabolite;all
3348;nac[p];1;1;2;123.0320284;metabolite;all
2356;4hba;1;1;2;124.0524295;metabolite;all
2049;taur;1;1;2;125.0146641;metabolite;all
3478;taur[p];1;1;2;125.0146641;metabolite;all
3479;taur[e];0;1;1;125.0146641;metabolite;all
3048;isetac;1;1;2;125.9986797;metabolite;all
3246;isetac[p];1;1;2;125.9986797;metabolite;all
3247;isetac[e];0;1;1;125.9986797;metabolite;all
2667;thym;1;1;2;126.0429274;metabolite;all
3496;thym[p];2;0;2;126.0429274;metabolite;all
3497;thym[e];0;1;1;126.0429274;metabolite;all
2109;thex2eACP;1;2;3;129.0374109;metabolite;all
3467;3mop;2;0;2;130.0629942;metabolite;all
3500;4mop;1;1;2;130.0629942;metabolite;all
2243;agm;2;2;4;130.1218464;metabolite;all
2809;agm[e];0;1;1;130.1218464;metabolite;all
2810;agm[p];2;0;2;130.1218464;metabolite;all
2350;iasp;4;1;5;131.0218576;metabolite;all
2239;glu5sa;2;1;3;131.0582431;metabolite;all
2262;5aop;1;1;2;131.0582431;metabolite;all
2408;glu1sa;1;1;2;131.0582431;metabolite;all
2919;ile-L;2;2;4;131.0946287;metabolite;all
2921;leu-L;3;1;4;131.0946287;metabolite;all
3236;ile-L[p];1;2;3;131.0946287;metabolite;all
3237;ile-L[e];0;1;1;131.0946287;metabolite;all
3257;leu-L[p];1;2;3;131.0946287;metabolite;all
3258;leu-L[e];0;1;1;131.0946287;metabolite;all
1949;oaa;7;4;11;132.0058732;metabolite;all
2204;oxur;1;1;2;132.0171066;metabolite;all
2023;4h2opntn;1;1;2;132.0422587;metabolite;all
2572;dhptd;1;1;2;132.0422587;metabolite;all
3457;alac-S;2;0;2;132.0422587;metabolite;all
1959;asn-L;4;3;7;132.0534921;metabolite;all
2850;asn-L[p];1;2;3;132.0534921;metabolite;all
2851;asn-L[e];0;1;1;132.0534921;metabolite;all
2242;orn;2;4;6;132.0898776;metabolite;all
2846;orn[p];3;1;4;132.0898776;metabolite;all
3378;orn[e];0;1;1;132.0898776;metabolite;all
1948;asp-L;6;15;21;133.0375077;metabolite;all
2855;asp-L[p];1;4;5;133.0375077;metabolite;all
2857;asp-L[e];0;1;1;133.0375077;metabolite;all
2190;mal-D;1;1;2;134.0215233;metabolite;all
2213;mal-L;4;5;9;134.0215233;metabolite;all
3277;mal-D[p];1;1;2;134.0215233;metabolite;all
3278;mal-D[e];0;1;1;134.0215233;metabolite;all
3279;mal-L[p];1;2;3;134.0215233;metabolite;all
3281;mal-L[e];0;1;1;134.0215233;metabolite;all
2057;urdglyc;1;2;3;134.0327567;metabolite;all
2362;dxyl;0;1;1;134.0579088;metabolite;all
3456;23dhmb;0;2;2;134.0579088;metabolite;all
2568;hcys-L;2;3;5;135.0353995;metabolite;all
2414;4hthr;1;0;1;135.0531578;metabolite;all
2045;ade;9;2;11;135.0544952;metabolite;all
2795;ade[p];1;1;2;135.0544952;metabolite;all
2796;ade[e];0;1;1;135.0544952;metabolite;all
2615;hxan;5;2;7;136.0385107;metabolite;all
3232;hxan[e];0;1;1;136.0385107;metabolite;all
3233;hxan[p];1;1;2;136.0385107;metabolite;all
2067;pac;1;1;2;136.0524295;metabolite;all
2752;4hoxpacd[e];0;1;1;136.0524295;metabolite;all
2753;4hoxpacd[p];1;0;1;136.0524295;metabolite;all
3330;4hoxpacd;1;0;1;136.0524295;metabolite;all
2307;4abz;1;1;2;137.0476785;metabolite;all
2977;anth;1;2;3;137.0476785;metabolite;all
3329;tym;0;1;1;137.084064;metabolite;all
3514;tym[e];0;1;1;137.084064;metabolite;all
3515;tym[p];1;0;1;137.084064;metabolite;all
2312;4hbz;1;1;2;138.0316941;metabolite;all
2311;4ahmmp;0;1;1;139.0745619;metabolite;all
3050;sulfac;1;1;2;139.9779442;metabolite;all
3474;sulfac[p];1;1;2;139.9779442;metabolite;all
3475;sulfac[e];0;1;1;139.9779442;metabolite;all
2836;actp;2;0;2;139.9874599;metabolite;all
2217;cbp;3;2;5;140.9827089;metabolite;all
2564;histd;1;1;2;141.090212;metabolite;all
2858;aso4;0;1;1;141.9247301;metabolite;all
2314;4mhetz;0;1;1;143.0404849;metabolite;all
2691;ctbt;3;1;4;143.0946287;metabolite;all
2926;ctbt[p];0;2;2;143.0946287;metabolite;all
2470;octa;2;1;3;144.1150298;metabolite;all
2677;octa[p];1;1;2;144.1150298;metabolite;all
3377;octa[e];0;1;1;144.1150298;metabolite;all
1944;3ohexACP;1;1;2;145.0323255;metabolite;all
2235;spmd;3;3;6;145.1578976;metabolite;all
3468;spmd[p];1;1;2;145.1578976;metabolite;all
3469;spmd[e];0;1;1;145.1578976;metabolite;all
1920;akg;10;15;25;146.0215233;metabolite;all
2816;akg[p];1;1;2;146.0215233;metabolite;all
2817;akg[e];0;1;1;146.0215233;metabolite;all
2282;2dhp;1;1;2;146.0579088;metabolite;all
3470;2ahbut;1;1;2;146.0579088;metabolite;all
1960;gln-L;2;14;16;146.0691422;metabolite;all
3158;gln-L[p];1;1;2;146.0691422;metabolite;all
3159;gln-L[e];0;1;1;146.0691422;metabolite;all
2390;dmbzid;0;1;1;146.0843983;metabolite;all
2147;lys-L;5;3;8;146.1055277;metabolite;all
2873;lys-L[p];2;3;5;146.1055277;metabolite;all
3273;lys-L[e];0;1;1;146.1055277;metabolite;all
2740;gbbtn;1;1;2;146.1175552;metabolite;all
